example_id,customer_text,golden_customer_tweet_id,top_similarity,retrieved_customer_text,retrieved_support_text
G001,@AmazonHelp Filled out and sent.,2262981,0.7416016047653089,@AmazonHelp Filled out.,@373775 Thank you! I can confirm we've received your information. ^AM
G002,@AmazonHelp https://t.co/pIZxMHZE22 https://t.co/khXa0hc1Ja,2311986,1.0,"@AmazonHelp https://t.co/ce0Z9HclzF

https://t.co/ce0Z9HclzF",@363324 Thanks for the link! It looks like the only options are to purchase from available sellers listed: https://t.co/cTq5v4pRWE ^FR
G003,@117795 Hi having real problems logging in it asks for a password then a verification then another password for prime ..I went round in circles and gave up in the end cancelled the order it’s a bit frustrating.😐,637228,0.3874767598754816,@AmazonHelp round in circles,@131071 I'm sorry to hear that. What options were provided for your issue? ^BA
G004,"@AmazonHelp Yes, I’ve just been in contact with my bank and they said there are 2 pending transactions with yourselves neither of the are for the amount of the order put through",2298426,0.26231092198909733,@AmazonHelp Yes. Confirmed with my bank it is a charge. There are two charges for the same order. O,@814218 We can take a look at the charge with you! Please reach out to us by phone here: https://t.co/hApLpMlfHN ^DD
G005,"@AmazonHelp Order# 405-4831779-1488314
This should be enough, isn't this?
@115850 @115821 #PoorManagement #Disappointing service in #Diwali",859612,0.41975180486245234,@AmazonHelp ORDER # 405-3723509-3357943,"@158451 Please don't provide your order details, we consider it personal information. Our page is visible to public. (2/2) ^ZH"
G006,@116875 en mi cuenta me esta pidiendo cobro de membresia prime cuando la active en agosto que esta pasando?,2910378,0.35515493520846536,¡¡Ya desbloqueen mi cuenta prros @116875!!,"@815669 Hola, Isco. ¿Ya recibiste un email de los especialistas en cuentas explicando la situación o solicitándote el envío de documentos? ^ES"
G007,@117795 suggested resolution was take it back to the post office even after explaining the whole reason for me using your service...,355530,0.32504089832766225,@AmazonHelp How drive it back to the post office. I work during the day so no way to refuse,@415650 Is it an item that needs to be signed for? ^MC
G008,@AmazonHelp Ya llego :) https://t.co/Ivpk9C3duM,2461317,0.8278399006941378,@AmazonHelp Sii☺️ ya llego 😍 https://t.co/8dKgSqQnsU,"@193375 Nos alegra que ya hayas recibido tu paquete. 😉☺️ Cuéntanos, ¿qué has comprado? ^KA https://t.co/FTPzWpxvQu"
G009,Non è che per il black friday @120540 mette in promo anche la voglia di vivere?,2810267,0.6455070237083294,@120540 ma solo aspirapolveri vendete per il Black Friday?,@146673 Puoi vedere tutte le nostre offerte qui: https://t.co/BDeHY8ckn2. ^MA
G010,@AmazonHelp I do not need it anymore now as it is will no longer meet the need it was supposed to. To think your advisers can lie to people and then fob me off is unacceptable.I could have gone out to the chemist or supermarket to buy but stayed home waiting for something that wasn't coming,134998,0.21614095340181066,@AmazonHelp how do I cancel my amazon prime account? I don’t use it anymore as no longer need it.,"@123959 You can find information here on how to get this cancelled: https://t.co/zoEiIIan0o 

If you have questions, let us know! ^KN"
