example_id,customer_text,true_intent,true_escalation,predicted_decision,predicted_escalation,escalation_reason,retrieval_score,draft_reply
G001,@AmazonHelp Filled out and sent.,I11_other_unclear,NO,AUTO-HANDLE,NO,Relevant historical resolution found,0.7416016047653089,@373775 Thank you! I can confirm we've received your information. ^AM
G002,@AmazonHelp https://t.co/pIZxMHZE22 https://t.co/khXa0hc1Ja,I11_other_unclear,NO,AUTO-HANDLE,NO,Relevant historical resolution found,1.0,@363324 Thanks for the link! It looks like the only options are to purchase from available sellers listed: https://t.co/cTq5v4pRWE ^FR
G003,@117795 Hi having real problems logging in it asks for a password then a verification then another password for prime ..I went round in circles and gave up in the end cancelled the order it’s a bit frustrating.😐,I07_account,YES,ESCALATE,YES,Sensitive account/payment issue,0.3874767598754816,@131071 I'm sorry to hear that. What options were provided for your issue? ^BA
G004,"@AmazonHelp Yes, I’ve just been in contact with my bank and they said there are 2 pending transactions with yourselves neither of the are for the amount of the order put through",I06_payment_billing,YES,ESCALATE,YES,Sensitive account/payment issue,0.26231092198909733,@814218 We can take a look at the charge with you! Please reach out to us by phone here: https://t.co/hApLpMlfHN ^DD
G005,"@AmazonHelp Order# 405-4831779-1488314
This should be enough, isn't this?
@115850 @115821 #PoorManagement #Disappointing service in #Diwali",I11_other_unclear,YES,AUTO-HANDLE,NO,Relevant historical resolution found,0.41975180486245234,"@158451 Please don't provide your order details, we consider it personal information. Our page is visible to public. (2/2) ^ZH"
G006,@116875 en mi cuenta me esta pidiendo cobro de membresia prime cuando la active en agosto que esta pasando?,I08_prime_subscription,YES,AUTO-HANDLE,NO,Relevant historical resolution found,0.35515493520846536,"@815669 Hola, Isco. ¿Ya recibiste un email de los especialistas en cuentas explicando la situación o solicitándote el envío de documentos? ^ES"
G007,@117795 suggested resolution was take it back to the post office even after explaining the whole reason for me using your service...,I03_return,NO,AUTO-HANDLE,NO,Relevant historical resolution found,0.32504089832766225,@415650 Is it an item that needs to be signed for? ^MC
G008,@AmazonHelp Ya llego :) https://t.co/Ivpk9C3duM,I01_order_delivery,NO,AUTO-HANDLE,NO,Relevant historical resolution found,0.8278399006941378,"@193375 Nos alegra que ya hayas recibido tu paquete. 😉☺️ Cuéntanos, ¿qué has comprado? ^KA https://t.co/FTPzWpxvQu"
G009,Non è che per il black friday @120540 mette in promo anche la voglia di vivere?,I11_other_unclear,NO,AUTO-HANDLE,NO,Relevant historical resolution found,0.6455070237083294,@146673 Puoi vedere tutte le nostre offerte qui: https://t.co/BDeHY8ckn2. ^MA
G010,@AmazonHelp I do not need it anymore now as it is will no longer meet the need it was supposed to. To think your advisers can lie to people and then fob me off is unacceptable.I could have gone out to the chemist or supermarket to buy but stayed home waiting for something that wasn't coming,I01_order_delivery,YES,ESCALATE,YES,Serious customer complaint,0.21614095340181066,"@123959 You can find information here on how to get this cancelled: https://t.co/zoEiIIan0o 

If you have questions, let us know! ^KN"
G011,某アニメのDVD-BOXをAmazonで購入手続きしました。予算をケチるために中古DVDを選択しました。何を買ったかは、届いてからのお楽しみ…,I10_general_information,NO,ESCALATE,YES,No safe historical resolution,0.0,@115770 カスタマーサービスにてお問い合わせ済みとのことで、お手数をおかけいたしました。リプライいただきありがとうございました。ET
G012,@AmazonHelp The one item shipped from China! Seller claims we chose standard.  Why would we voluntarily take a slower shipping when prime is free?,I11_other_unclear,NO,AUTO-HANDLE,NO,Relevant historical resolution found,0.22176110094522875,@337608 That's strange. Have you reported this to our support team here: https://t.co/vlvfJr4nN9 for assistance? ^GD
G013,"@AmazonHelp Danke, ich versuchs mal.",I11_other_unclear,NO,AUTO-HANDLE,NO,Relevant historical resolution found,0.9190781152983214,"@706755 Super! Viel Erfolg! ^SM &amp; ^TA
...doppelt hält wohl besser 🖤"
G014,@115821  is bs my order was supposed to be here yesterday and they extended my expectation date until the 19th wth,I01_order_delivery,NO,AUTO-HANDLE,NO,Relevant historical resolution found,0.47238041428720906,@621230 We aim to deliver by the date given in your order e-mail. What does the latest tracking show? https://t.co/aaDyEz1VgE ^TK
G015,@AmazonHelp Prime is advertised as next day. I’ve historically had weekend delivery from you. @117795  still delivers in under 2 hours!,I08_prime_subscription,NO,AUTO-HANDLE,NO,Relevant historical resolution found,0.32894412209912577,@140848 You can see more about how delivery dates are calculated here: https://t.co/LXzjDIGscA. I hope this helps! ^CS
G016,@115821 why did y'all delay the delivery date of my package omg,I01_order_delivery,NO,AUTO-HANDLE,NO,Relevant historical resolution found,0.31928132373077783,@165088 Who was the carrier listed for this order here: https://t.co/Y5jpI9gRhE ? Please let us know! ^LB
G017,@115821 How are the winners decided?,I10_general_information,NO,AUTO-HANDLE,NO,Relevant historical resolution found,0.5104292482627868,"@184859 Hey, winners will be announced by 10th September. Kindly wait till the same. We appreciate your patience. ^VN"
