example_id,customer_tweet_id,customer_text,intent,predicted_intent,classifier_confidence
G001,2262981,@AmazonHelp Filled out and sent.,I11_other_unclear,I11_other_unclear,0.11959752790009526
G002,2311986,@AmazonHelp https://t.co/pIZxMHZE22 https://t.co/khXa0hc1Ja,I11_other_unclear,I11_other_unclear,0.15174014081460813
G003,637228,@117795 Hi having real problems logging in it asks for a password then a verification then another password for prime ..I went round in circles and gave up in the end cancelled the order it’s a bit frustrating.😐,I07_account,I01_order_delivery,0.10766434529158199
G004,2298426,"@AmazonHelp Yes, I’ve just been in contact with my bank and they said there are 2 pending transactions with yourselves neither of the are for the amount of the order put through",I06_payment_billing,I10_general_information,0.12824899900227998
G005,859612,"@AmazonHelp Order# 405-4831779-1488314
This should be enough, isn't this?
@115850 @115821 #PoorManagement #Disappointing service in #Diwali",I11_other_unclear,I01_order_delivery,0.11740651245563812
G006,2910378,@116875 en mi cuenta me esta pidiendo cobro de membresia prime cuando la active en agosto que esta pasando?,I08_prime_subscription,I07_account,0.15233333202096774
G007,355530,@117795 suggested resolution was take it back to the post office even after explaining the whole reason for me using your service...,I03_return,I01_order_delivery,0.11010978350117538
G008,2461317,@AmazonHelp Ya llego :) https://t.co/Ivpk9C3duM,I01_order_delivery,I11_other_unclear,0.19817169284525396
G009,2810267,Non è che per il black friday @120540 mette in promo anche la voglia di vivere?,I11_other_unclear,I11_other_unclear,0.1132695777886569
G010,134998,@AmazonHelp I do not need it anymore now as it is will no longer meet the need it was supposed to. To think your advisers can lie to people and then fob me off is unacceptable.I could have gone out to the chemist or supermarket to buy but stayed home waiting for something that wasn't coming,I01_order_delivery,I01_order_delivery,0.11559321683368037
G011,469396,某アニメのDVD-BOXをAmazonで購入手続きしました。予算をケチるために中古DVDを選択しました。何を買ったかは、届いてからのお楽しみ…,I10_general_information,I11_other_unclear,0.11719102251375979
G012,1268304,@AmazonHelp The one item shipped from China! Seller claims we chose standard.  Why would we voluntarily take a slower shipping when prime is free?,I11_other_unclear,I01_order_delivery,0.11543631476596856
G013,2500709,"@AmazonHelp Danke, ich versuchs mal.",I11_other_unclear,I11_other_unclear,0.13686212648760332
G014,1203375,@115821  is bs my order was supposed to be here yesterday and they extended my expectation date until the 19th wth,I01_order_delivery,I01_order_delivery,0.1333278425437254
G015,836845,@AmazonHelp Prime is advertised as next day. I’ve historically had weekend delivery from you. @117795  still delivers in under 2 hours!,I08_prime_subscription,I01_order_delivery,0.128864611045358
G016,911231,@115821 why did y'all delay the delivery date of my package omg,I01_order_delivery,I01_order_delivery,0.12942812149477168
G017,2488528,@115821 How are the winners decided?,I10_general_information,I01_order_delivery,0.11696477111083142
G018,1266302,"@AmazonHelp Checked with @416512, there's no way to turn the subtitles off, so when watching with headphones? A truly annoying experience!",I10_general_information,I07_account,0.11648431447716481
G019,1258196,@115850 I m happy because the 1 st time product of amazon recived in my smallest village today https://t.co/FfDj0Ivm4f,I10_general_information,I10_general_information,0.11156024698624109
G020,717631,"@115850 order 403-7687017-1505112 not delivered. Delivery boy lied, no one contacted me. I don't have product, can't cancel. Money lost.",I02_missing_package,I02_missing_package,0.12130212397550869
G021,674323,@AmazonHelp The team picked up the return package. Thank you!,I03_return,I11_other_unclear,0.12754615644532016
G022,2718459,"@115850 ORDER # 403-0276244-3459531 your automated call  comes to informm that u can pay by net banking or by card at delivery time and delivery guy ask only ""CASH"" what a nonsense service",I06_payment_billing,I01_order_delivery,0.11756071005392266
G023,1756782,@AmazonHelp My delivery was supposed to be here between 4-6pm Yesterday. It’s been over 24 hours already and still nothing. Really bad first experience. Hope I get this by tomorrow if not I rather cancel and go to Walmart.,I01_order_delivery,I01_order_delivery,0.15126684687577222
G024,917010,@AmazonHelp Replied please check,I11_other_unclear,I11_other_unclear,0.13976323026704265
G025,1387200,"@AmazonHelp I'll expect contact by this evening at the latest, as per the 12 hour promise on the two forms I have completed. I'd still like to make a proper complaint though and would like to know how I do this without more delay and let down. Thanks.",I11_other_unclear,I01_order_delivery,0.13036423333615124
G026,2308090,Bro. I ordered something from Amazon and forgot to change the adress and it shipped to my house in Jersey...hdjsksnspwlwjslowjslekee dndbdndn,I09_cancellation_modification,I02_missing_package,0.10877004606832023
G027,1502886,@115830 really?? Is this huge box appropriate to send me my teeny weeny earring backs? An envelope will do next time! https://t.co/gDR5tH16uf,I10_general_information,I05_wrong_damaged_item,0.11847866400667664
G028,249765,@115850 Thanks for acknowledgement of my issue. I have given detail on link provided.,I11_other_unclear,I07_account,0.11673426000803368
