example_id,customer_tweet_id,customer_text,support_text,customer_time,support_time,intent,should_escalate,escalation_reason
G001,2262981,@AmazonHelp Filled out and sent.,@658813 Thanks for the update! A member of our team will be getting back to you soon. ^SE,Tue Nov 21 01:31:25 +0000 2017,Tue Nov 21 01:34:30 +0000 2017,I11_other_unclear,NO,Low-confidence or unclear request
G002,2311986,@AmazonHelp https://t.co/pIZxMHZE22 https://t.co/khXa0hc1Ja,"@670494 Thanks for the screen grab, is that from the app or directly from the website? ^MI",Mon Nov 13 15:37:17 +0000 2017,Mon Nov 13 16:00:00 +0000 2017,I11_other_unclear,NO,Low-confidence or unclear request
G003,637228,@117795 Hi having real problems logging in it asks for a password then a verification then another password for prime ..I went round in circles and gave up in the end cancelled the order it’s a bit frustrating.😐,@157530 I'm so sorry for your issues logging in! Please call or chat us here at your earliest convenience: https://t.co/zYVX1Qi29G ^VF,Wed Nov 22 19:31:49 +0000 2017,Wed Nov 22 19:49:00 +0000 2017,I07_account,YES,Complex issue requiring human intervention
G004,2298426,"@AmazonHelp Yes, I’ve just been in contact with my bank and they said there are 2 pending transactions with yourselves neither of the are for the amount of the order put through","@156774 We'd be happy to check on these with you, please contact us here: https://t.co/qy3J24VGxb ^AF",Sun Nov 12 14:57:24 +0000 2017,Sun Nov 12 15:11:00 +0000 2017,I06_payment_billing,YES,Sensitive account/payment issue
G005,859612,"@AmazonHelp Order# 405-4831779-1488314
This should be enough, isn't this?
@115850 @115821 #PoorManagement #Disappointing service in #Diwali","@324100 Please don't share your order details, we consider it to be personal information. Our page is visible to the public (2/2)^BA",Fri Oct 20 18:00:34 +0000 2017,Fri Oct 20 18:28:45 +0000 2017,I11_other_unclear,YES,Low-confidence or unclear request
G006,2910378,@116875 en mi cuenta me esta pidiendo cobro de membresia prime cuando la active en agosto que esta pasando?,@805705 Hola cinuxxx. Lamento saber del inconveniente. Por este medio no tenemos acceso a  tu cuenta. Por favor entra en contacto con nuestro Servicio al Cliente por este enlace: https://t.co/beR78zMMYB   ^JJ,Tue Nov 28 21:26:20 +0000 2017,Tue Nov 28 21:33:27 +0000 2017,I08_prime_subscription,YES,Sensitive account/payment issue
G007,355530,@117795 suggested resolution was take it back to the post office even after explaining the whole reason for me using your service...,@200470 Apologies - What return options were provided? Please reach out : https://t.co/JzP7hlA23B so we can fully address your issue ^TP,Sun Oct 08 14:26:37 +0000 2017,Sun Oct 08 14:43:04 +0000 2017,I03_return,NO,None — safe to handle
G008,2461317,@AmazonHelp Ya llego :) https://t.co/Ivpk9C3duM,"@704719 ¡Hola, Jorge! Estamos muy felices de que tu pedido llegó. Cuéntanos, ¿cuál es tu personaje favorito?. ^NB https://t.co/l9CyuaIYTv",Thu Nov 16 21:26:56 +0000 2017,Thu Nov 16 21:39:30 +0000 2017,I01_order_delivery,NO,None — safe to handle
G009,2810267,Non è che per il black friday @120540 mette in promo anche la voglia di vivere?,@495673 🤔 Giornata storta? 😅 ^FS,Wed Nov 22 06:45:13 +0000 2017,Wed Nov 22 06:52:29 +0000 2017,I11_other_unclear,NO,None — safe to handle
G010,134998,@AmazonHelp I do not need it anymore now as it is will no longer meet the need it was supposed to. To think your advisers can lie to people and then fob me off is unacceptable.I could have gone out to the chemist or supermarket to buy but stayed home waiting for something that wasn't coming,"@146420 Hi, I'm sorry there has been a delay. Delays are rare but can happen from time to time. If there are any problems with your delivery on the revised delivery date please let us know. ^KK",Fri Nov 24 09:31:12 +0000 2017,Fri Nov 24 09:50:31 +0000 2017,I01_order_delivery,YES,Complex issue requiring human intervention
