example_id,customer_text,true_intent,predicted_intent,classifier_confidence,retrieval_score,true_escalation,predicted_decision,escalation_reason,draft_reply
G003,@117795 Hi having real problems logging in it asks for a password then a verification then another password for prime ..I went round in circles and gave up in the end cancelled the order it’s a bit frustrating.😐,I07_account,I10_general_information,0.1085,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,@157530 I'm so sorry for your issues logging in! Please call or chat us here at your earliest convenience: https://t.co/zYVX1Qi29G ^VF
G005,"@AmazonHelp Order# 405-4831779-1488314
This should be enough, isn't this?
@115850 @115821 #PoorManagement #Disappointing service in #Diwali",I11_other_unclear,I11_other_unclear,0.1567,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,"@324100 I’d like to help you, kindly share your details in the link provided earlier and I'll get in touch with you (1/2)^BA"
G006,@116875 en mi cuenta me esta pidiendo cobro de membresia prime cuando la active en agosto que esta pasando?,I08_prime_subscription,I07_account,0.1469,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,@805705 Hola cinuxxx. Lamento saber del inconveniente. Por este medio no tenemos acceso a  tu cuenta. Por favor entra en contacto con nuestro Servicio al Cliente por este enlace: https://t.co/beR78zMMYB   ^JJ
G010,@AmazonHelp I do not need it anymore now as it is will no longer meet the need it was supposed to. To think your advisers can lie to people and then fob me off is unacceptable.I could have gone out to the chemist or supermarket to buy but stayed home waiting for something that wasn't coming,I01_order_delivery,I01_order_delivery,0.1187,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,"@146420 Hi, I'm sorry there has been a delay. Delays are rare but can happen from time to time. If there are any problems with your delivery on the revised delivery date please let us know. ^KK"
G020,"@115850 order 403-7687017-1505112 not delivered. Delivery boy lied, no one contacted me. I don't have product, can't cancel. Money lost.",I02_missing_package,I02_missing_package,0.3219,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,@291834 Sorry for the delay in delivery of your order. I'd like to look into this. (1/2) ^HD
G025,"@AmazonHelp I'll expect contact by this evening at the latest, as per the 12 hour promise on the two forms I have completed. I'd still like to make a proper complaint though and would like to know how I do this without more delay and let down. Thanks.",I11_other_unclear,I11_other_unclear,0.1477,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,@442775 You will be able to raise this with the agent whom you will be speaking too. ^SA
G026,Bro. I ordered something from Amazon and forgot to change the adress and it shipped to my house in Jersey...hdjsksnspwlwjslowjslekee dndbdndn,I09_cancellation_modification,I09_cancellation_modification,0.4008,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,"@669514 We'd like to help! When you have a moment, please reach out to us here so we can go over available options with you: https://t.co/vdivkaIgUA ^CL"
G029,@AmazonHelp are your delivery drivers allowed to just enter my house without permission @35946 really quite angry about this.,I11_other_unclear,I11_other_unclear,0.15,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,"@508483 Hi, please fill out this form: https://t.co/tkLCr7DNil so a member of our team can look into this for you. ^JJ"
G031,"@AmazonHelp I have checked, just annoyed that I'm paying for Prime &amp; my package is late. My order's been out for delivery since 10:30 yesterday morning. https://t.co/AntsGAxO5i",I01_order_delivery,I01_order_delivery,0.1602,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,"@314209 I'm sorry to hear that, its not what we want you to experience, contact us here: https://t.co/JzP7hlA23B for more info ^AS"
G035,@115821 trying to buy this watch and the order doesn’t go through so i wait till i get home to order and it goes up in price by £85. Just been on phone for 20mins to customer support and they haven’t helped at all. Please tell me why this? https://t.co/Mi6GlAT7Qr,I10_general_information,I10_general_information,0.1681,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,@274429 Deal of the Day items are only available for a limited time. More info here: https://t.co/xoRbfqxts9 ^BA
G039,"@AmazonHelp I already filled the form and i want my money refunded either today or tomorrow. I don't care how you will do that. Otherwise i will file a complaint against you that you for doing fraud with customers.
@115850 @115821 https://t.co/moviRCARcy",I04_refund,I04_refund,0.4284,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,"@786837 Thank you for sharing the details, Yashwant. We're working on it and we'll get back to you soon with an appropriate resolution. ^SY"
G041,@AmazonHelp @152011 DEAR AMAZONE FIND THE ORDER NO.-403-79045985510732 WHAT IS ISSUE ABOUT PARCEL RETURN TO UR END AND CONTAIN MOBILE IS REC AT UR LOACTION . IN YOUR WAREHOUSE TOTALLY THIEF AND LYING STAFF.WHERE IS MY MOBILE???HOW MANY DAYS MY MOBILE GET IT BACK ON ARGENT BASIS.,I03_return,I03_return,0.359,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,@152012 We apologize for the inconvenience regarding the order. We'd like to take a closer look into this issue. Kindly drop your details here: https://t.co/beaaDm0muc and we’ll contact you soon. 1/2 ^BV
G043,"@115821 filed a police report for the fake laptop you sent me and forwarded the copy of the report per your instructions... Get an email back calling the report ""invalid"". Guess the Columbus OH Police Department is fake too... #Amazon #fail",I05_wrong_damaged_item,I05_wrong_damaged_item,0.2511,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,"@794703 For security purposes, we're unable to view accounts via Twitter but we'd like to help! Please contact us here: https://t.co/hApLpMlfHN via phone or chart for assistance. ^KH"
G045,@AmazonHelp Per ordered the #XboxOneX Scorpio back on 20th Aug &amp; it still not been delivered although been promised it will be here yesterday &amp; today. It's just got good enough. I had a failed delivery today to a work address even though it's a manned reception and Otter parcels made it,I01_order_delivery,I01_order_delivery,0.1591,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,@638008 Sorry you have not received your package. Who is the carrier delivering? Have you reached out to them for further insight on the delivery? Please keep us posted on the insight they provide. ^AX
G046,@116090 r u thinking us fool.I am waiting for my order from 15 days and still waiting for ur answer...,I01_order_delivery,I01_order_delivery,0.144,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,@467343 I'm sorry for the delay! We'd like to help! What does your latest tracking show here? https://t.co/PyACxvY8Qo ^TK
G048,"@115817 @115821 Yeah it’s ok. UPS driver on my route must have a problem with me for some reason.  I don’t know why, all I do is pay his salary.",I01_order_delivery,I01_order_delivery,0.1545,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,@193222 We're can always submit your feedback to our delivery team for review. Just send us an e-mail here: https://t.co/hApLpMlfHN ^KP
G049,"@AmazonHelp &gt; option for the call ever, ever ending. I'm now very upset and angry. Since your staff won't tell me - how do I make a formal complaint?",I11_other_unclear,I11_other_unclear,0.158,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,"@134059 Our team would like to take a closer look, and make sure your concerns are escalated, via this link: https://t.co/fWWGG25Kpj ^JR"
G051,"@AmazonHelp @133260 Compre el lunes un regalo para el viernes con el premium (que en teoria tarda 1 dia), y hoy, VIERNES, aun no ha llegado y ni siquiera se si va llegar hoy o el año que viene. Num seg:UX58R6__credit_card__E",I01_order_delivery,I01_order_delivery,0.1558,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,"@227515 Hola Pau, ¿Provenía directamente de Amazon o de un vendedor Marketplace?¿Cuál fue la fecha de entrega que se te dio?¿Era entrega garantizada o estimada? ^JD"
G054,"@AmazonHelp Thanks for the reply. I tried this once , the guy told me over the call that it will be fixed in 1hr on Thursday. But yet to happen.",I11_other_unclear,I11_other_unclear,0.1459,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,"@477433 That's odd, we'd like to get this checked, please share your details here: https://t.co/cllwXc2HeK. We'll look into it. ^PS"
G056,"@AmazonHelp your locker in Perivale, #AmazonHarp is still not working. When will you fix this? It still seems to be taking deliveries https://t.co/vj3Ue2rmaf",I10_general_information,I01_order_delivery,0.1234,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,@371963 Oh no! Let's talk about this in real time. Please call or chat with us here: https://t.co/N9xgQ6NMAo ^BA
G059,"@AmazonHelp Someone placed order on Amazon with ""From &amp; To"" name of my friend and delivery address same as sender n recipient.",I07_account,I07_account,0.2626,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,"@188734 I understand the mix-up. However, we'll not be able to check your information here. So kindly report it to our 1/3^SC"
G062,@115850 terrible customer care experience today.... Rude and ill mannered executives and supervisors. They don't really help the customer.,I11_other_unclear,I11_other_unclear,0.1421,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,@311199 Please drop in your details here: https://t.co/QKRidRtHp5 and I'll contact you soon.2/2 ^HS
G064,"@4774 sold an iPhone to a buyer who requested return &amp; returned phone with different IMEI. Apple confirmed the phone was not the same, and had also been tampered with. @115821 is taking the buyer’s side. I’m out $600! What can I do? What are my rights? @AmazonHelp",I05_wrong_damaged_item,I05_wrong_damaged_item,0.2476,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,"@133915 Hi, have you reported this directly to our seller support team, if so what has been advised?^SM"
G066,"@AmazonHelp Not only am I not getting my Air Purifier on Sunday (when I needed it), I now have this crap to deal with. Thanks for that, BTW.",I01_order_delivery,I01_order_delivery,0.1539,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,@350706 A bank won't tell us why a card has declined. Have you tried another card? ^PK
G070,@AmazonHelp Social media escalation team is sham @115850 @115821 &amp; ATS team believe themselves as Gods providing fake updates &amp; none to question them,I11_other_unclear,I11_other_unclear,0.1465,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,@186821 I understand your concern. Could you please confirm if you had shared the details through the secure link provided earlier? ^AP
G071,@115850 @AmazonHelp Today you have lost another customer. Fed up of your delivery standards. No commitment from customer service too.,I01_order_delivery,I11_other_unclear,0.1188,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,@512912 Sorry for the hassle. Please report this to our support team here: https://t.co/vlvfJr4nN9 and we'll check this. ^HN
G072,"dear @AmazonHelp i have not got my order but in tracking it is showing delivered and your customer care executive is saying that order is back, who is responsible ? https://t.co/n0lwAXWWDD",I02_missing_package,I02_missing_package,0.3029,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,"@773891 Apologies for the experience you had with this order. Please share your details here: https://t.co/beaaDm0muc and we'll contact you soon. Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^JS"
G078,@AmazonHelp I have just done that and it's telling me I've been a member since December 2016! But only just had one payment taken. Please tell me how I'm to get a refund....,I08_prime_subscription,I08_prime_subscription,0.3049,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,"@688072 Hey Leigh, as we do not have access to personal information here can you please contact us: https://t.co/0SlzLU4Pvh ^BD"
G079,@320324 My pre-order of your book was cancelled by @AmazonHelp with no explanation! Has something gone wrong?,I09_cancellation_modification,I09_cancellation_modification,0.1074,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,@320323 I'm so sorry to hear this. Please reach out by phone so we can investigate this with you: https://t.co/qy3J24VGxb ^GR
G080,I never expected @115821 @115850 for such a cheap behaviour. Order a product few days ago but they cancelled.  #AmazonGreatIndianFestival,I09_cancellation_modification,I09_cancellation_modification,0.4042,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,@187647 Sorry to know about the cancellation of your order. ^NR 1/2
G086,Not sure why I even bother paying for @115830 Prime. Waited all weekend for a parcel that was due Friday. Still don’t have it. Online chat service is the worst.,I01_order_delivery,I01_order_delivery,0.1567,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,@665345 Sorry you're still waiting Craig- Was tracking provided? If so what is the status of the order now? What was advised when you spoke with us on chat? ^NV
G087,"Hey @115821 , if my packages always get delayed, why am I paying for Prime to get 2 day shipping? 🤔",I01_order_delivery,I01_order_delivery,0.1334,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,"@163618 I'm sorry for the trouble! When this happens, who's the carrier? Please check under tracking info: https://t.co/Y5jpI9gRhE ^MH"
G089,@AmazonHelp I m a seller on amazon. Already open a complaint from 20 days. Nobody listens me,I11_other_unclear,I11_other_unclear,0.1571,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,@296909 Request you to wait for an update from the team or you may contact our Seller Support team again for further details.^PB (2/2)
G090,Didn't receive prime subscription with #echodot order id 405-6016617-8745100 :( @AmazonHelp @115850,I08_prime_subscription,I08_prime_subscription,0.3144,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,"@495477 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. 2/2 ^RI"
G091,@AmazonHelp I am being charged for a Prime subscription on my account that does not and has never existed. I am being told it is because another account has been using my card to pay their subscription but that is a lie and I have had that confirmed many times over,I08_prime_subscription,I08_prime_subscription,0.3214,1.0,YES,AUTO-HANDLE,Relevant historical resolution found,@234636 Please reach out to us once more so we may investigate this charge with you: https://t.co/2wPNGQdgF0 ^CL
